"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"B","G","G","G","G","G","H","H","B","F","C","F","C","C"
"B","G","G","B","G","G","H","H","B","C","B","F","C","H"
"U","G","G","B","G","C","H","H","B","B","C","F","C","B"
"B","G","G","B","G","G","B","H","B","G","B","C","C","G"
"U","G","G","A","G","G","A","G","B","F","C","F","G","C"
"U","G","G","B","G","G","H","G","B","B","B","F","C","C"
"U","F","C","B","G","G","B","H","B","F","B","H","G","G"
"U","F","G","B","G","G","B","A","B","G","B","C","C","C"
"B","G","G","B","G","G","A","C","H","C","C","G","C","C"
"B","G","C","B","G","G","B","H","B","G","B","H","C","F"
"U","F","G","B","G","G","B","A","B","F","B","H","C","U"
"U","G","G","B","G","G","G","H","F","B","B","H","C","C"
"U","C","G","B","G","G","U","F","U","C","B","N","G","C"
"B","G","C","F","G","G","A","G","B","G","C","G","C","C"
"U","U","U","U","G","U","U","U","B","B","A","N","C","U"
"U","G","G","B","G","G","A","G","B","B","C","H","C","C"
"U","G","G","B","G","G","B","H","B","F","B","H","C","C"
"U","F","C","B","G","G","B","F","B","G","B","H","C","C"
"B","F","C","B","G","G","H","H","B","C","C","G","C","G"
"B","G","G","B","G","G","H","F","B","G","C","H","C","C"
"B","F","C","B","G","C","C","F","B","F","B","F","G","C"
"U","G","C","B","C","U","G","G","B","F","B","C","C","C"
"U","G","C","B","G","G","H","H","B","B","B","F","C","U"
"U","G","G","B","G","G","B","A","G","C","C","G","C","C"
"U","G","C","B","G","U","A","A","B","B","C","N","C","U"
"B","F","G","B","G","G","B","F","B","B","B","H","C","H"
"U","G","C","H","G","G","A","G","B","F","B","F","G","C"
"B","G","C","A","G","G","A","A","B","F","B","N","C","C"
"U","F","G","B","G","G","H","F","B","F","B","H","G","H"
"B","G","C","B","G","C","A","A","F","F","C","G","G","C"
"A","G","G","B","C","G","C","F","B","C","B","F","C","C"
"U","F","C","B","G","G","B","H","B","G","B","C","C","C"
