"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"B","G","C","B","G","G","H","H","B","B","C","G","C","C"
"U","F","C","C","G","U","H","A","B","B","B","N","C","U"
"U","G","G","B","G","G","G","F","B","G","B","C","G","C"
"U","G","G","H","C","G","G","G","B","G","B","H","G","B"
"B","G","C","H","G","G","U","G","B","C","C","G","C","U"
"U","G","C","A","G","G","U","B","G","C","C","G","C","C"
"U","C","G","B","G","G","G","A","U","C","B","C","C","B"
"U","F","C","C","G","G","A","F","B","C","C","G","G","U"
"U","G","G","H","G","U","B","H","B","B","B","H","C","C"
"U","F","G","B","G","G","H","A","B","F","B","N","G","C"
"U","G","G","B","G","G","A","G","B","G","B","F","C","C"
"U","F","C","A","G","G","H","F","G","G","B","F","C","C"
"B","G","C","B","G","G","H","G","B","B","B","F","C","H"
"U","G","C","B","G","G","A","C","G","G","B","F","C","G"
"U","C","C","B","G","G","A","A","B","B","B","C","G","G"
"B","G","G","B","G","G","H","H","B","G","B","F","G","C"
"U","G","G","H","G","U","C","G","B","C","B","H","C","C"
"U","G","C","B","G","U","H","A","U","G","B","N","C","H"
"U","G","C","A","G","G","H","H","B","B","C","H","C","B"
"B","G","G","B","G","G","H","F","F","G","B","H","C","B"
"U","F","C","B","G","G","B","F","B","B","C","H","C","C"
"B","G","C","H","G","G","A","G","B","B","B","H","G","B"
"U","F","C","B","G","G","H","F","B","F","B","F","C","C"
"U","C","G","B","G","U","G","F","B","F","B","C","G","G"
"U","G","C","B","G","U","G","F","G","B","C","C","C","C"
"U","F","G","B","G","G","B","A","U","B","C","H","C","C"
"B","C","G","B","G","G","B","H","B","B","C","G","C","C"
"U","F","G","B","G","G","H","F","B","B","B","F","G","H"
"B","G","C","B","G","G","A","F","B","G","B","H","C","G"
"B","F","G","H","G","G","B","F","B","B","B","H","C","C"
"U","G","G","B","G","G","G","F","B","C","C","G","C","C"
"B","G","G","B","C","G","H","F","B","C","C","G","C","C"
"U","G","G","B","G","G","C","A","B","B","B","H","C","C"
"B","G","C","B","G","G","B","A","B","C","C","H","C","C"
"U","F","G","B","G","G","G","G","B","F","C","C","C","C"
"U","F","C","H","G","G","B","G","B","B","B","F","G","B"
"B","F","C","H","G","G","H","H","C","C","C","G","C","B"
"U","F","G","G","C","G","G","H","B","F","B","F","C","G"
"B","G","C","F","G","U","A","G","B","B","C","G","C","C"
"B","G","C","B","G","G","B","H","B","F","B","H","C","B"
"U","F","C","B","G","G","G","H","B","C","C","F","C","B"
"U","F","C","B","G","G","U","G","B","F","B","H","G","B"
"B","F","C","A","G","G","A","C","B","F","B","F","G","G"
"B","G","C","A","C","C","A","H","B","B","C","F","G","C"
"C","G","C","F","G","G","B","H","C","G","B","F","C","B"
"B","G","C","B","C","G","B","H","B","F","B","F","G","G"
"U","G","C","B","G","G","H","F","B","B","C","G","C","C"
"U","F","C","C","C","G","H","G","B","C","C","F","C","C"
"U","F","C","B","C","G","H","A","B","B","C","C","C","C"
"U","G","C","B","G","G","U","F","B","B","C","F","G","G"
"U","G","C","B","G","G","B","H","B","F","B","H","G","F"
"B","G","C","F","C","G","H","G","B","B","C","G","C","C"
"U","G","C","G","G","G","B","F","B","C","C","G","C","U"
"B","F","C","B","G","G","H","A","B","C","B","F","C","C"
"U","G","C","B","G","G","H","H","B","F","B","C","G","B"
"U","G","C","B","C","G","H","A","B","B","C","N","C","C"
"B","G","C","B","C","C","B","F","B","G","B","H","C","C"
"B","G","C","B","G","G","A","G","B","B","C","H","G","C"
"U","F","G","H","G","G","H","F","B","B","C","G","C","H"
"U","F","C","B","G","G","A","H","B","G","B","H","G","C"
"U","F","G","C","G","G","G","H","B","C","C","N","C","C"
"U","G","G","B","G","G","G","F","B","F","C","C","C","B"
"U","G","C","B","G","G","A","H","B","G","C","G","C","C"
"B","G","G","B","G","G","B","G","A","G","B","H","C","U"
"B","F","C","B","G","G","C","G","B","F","B","F","G","C"
"B","G","G","B","G","G","B","H","B","F","B","C","C","B"
"U","G","C","B","G","G","A","A","B","C","C","G","C","C"
"U","G","C","B","G","G","A","B","B","C","B","G","C","C"
"B","G","C","C","G","G","B","F","B","C","C","G","G","C"
"U","G","G","A","G","G","A","G","H","F","B","F","C","C"
"U","G","G","H","G","U","U","F","B","C","C","N","C","C"
"U","F","G","B","G","G","H","A","B","B","B","C","C","C"
"B","G","C","B","G","G","G","H","B","F","B","F","C","G"
"U","G","G","C","G","G","U","G","B","C","C","G","C","U"
"U","F","C","U","G","U","A","U","B","G","B","N","C","C"
"U","G","G","B","G","G","B","A","B","B","B","N","C","C"
"B","F","C","C","G","G","A","H","B","F","B","H","G","C"
"U","U","U","U","G","U","U","U","U","C","C","N","C","G"
"U","F","G","B","C","U","G","C","B","B","C","H","C","C"
"B","G","C","C","C","G","H","F","B","F","B","F","C","B"
"U","F","C","U","G","U","H","U","B","G","B","N","C","B"
"U","G","G","B","G","G","B","A","B","B","B","H","C","U"
"U","F","C","U","G","U","B","U","U","C","B","N","C","C"
"U","G","G","H","G","G","G","H","B","F","C","F","C","C"
"B","G","C","B","G","G","C","H","B","G","B","F","G","C"
"B","G","C","B","G","G","H","H","B","C","C","G","C","G"
"U","G","C","B","G","G","A","H","B","B","C","H","C","G"
"B","G","G","H","G","G","A","G","B","B","C","G","C","C"
"U","G","G","B","G","G","B","A","B","G","B","H","C","C"
"U","G","G","B","G","G","G","G","A","G","B","H","C","B"
"C","F","G","B","G","G","G","F","B","B","B","F","G","C"
"B","F","C","B","G","G","B","H","B","G","C","G","C","B"
"B","G","C","B","G","G","A","G","B","F","B","F","C","B"
"U","G","C","H","G","G","H","G","B","G","C","H","C","C"
"U","G","G","B","G","G","G","H","H","B","C","H","C","C"
"B","G","G","G","G","G","H","G","B","B","B","H","C","C"
"U","F","C","B","G","G","G","F","B","G","B","F","C","B"
"U","F","C","U","G","U","H","U","B","F","B","N","C","C"
"U","F","C","B","G","G","B","H","B","F","B","H","G","B"
"U","G","G","B","G","G","H","H","B","G","B","H","G","C"
"B","G","C","C","C","G","H","G","B","F","B","F","C","C"
"U","C","C","B","C","G","H","A","U","G","C","N","C","G"
"G","G","C","F","G","G","A","G","B","C","B","F","C","C"
"U","G","G","B","G","G","H","A","B","G","C","C","G","C"
"B","G","C","B","G","C","B","G","B","C","C","F","C","U"
"U","C","C","B","G","U","U","A","U","B","B","H","C","U"
"U","G","C","G","C","G","G","F","B","C","C","F","C","C"
"U","G","G","B","G","G","A","G","B","G","B","F","C","H"
"U","G","C","B","G","G","H","F","B","C","C","F","C","C"
"U","G","C","H","G","G","C","G","A","G","B","G","C","C"
"U","G","C","B","G","G","H","H","B","B","C","F","C","C"
"U","G","C","B","G","G","H","A","B","B","C","C","C","C"
"U","C","C","B","G","G","G","F","B","C","B","H","C","B"
"B","G","C","B","G","G","H","A","B","F","C","F","G","C"
"D","G","G","C","G","G","G","A","B","C","C","G","C","C"
"U","F","G","U","C","U","C","U","B","C","B","N","C","G"
"U","G","C","B","G","G","A","A","U","B","B","N","C","H"
"U","C","G","B","G","G","C","F","F","B","C","G","C","G"
"U","G","G","B","G","G","B","A","B","B","C","H","C","C"
"U","F","G","B","G","U","U","A","B","C","C","C","C","C"
"U","G","C","B","G","G","H","F","B","B","C","F","C","C"
"B","G","C","B","G","G","A","H","B","F","B","H","G","C"
"U","C","C","B","G","G","G","F","B","C","B","C","C","B"
"U","U","U","B","G","U","U","A","B","F","C","C","C","C"
"U","G","C","B","G","G","U","F","B","C","C","G","C","U"
"U","F","G","B","G","G","G","A","B","C","B","C","C","C"
"U","G","C","B","G","G","G","G","B","B","C","G","C","C"
"C","G","G","F","G","G","G","H","B","B","C","F","C","B"
"U","G","G","B","G","G","U","A","B","C","C","G","C","G"
"U","G","C","B","G","G","A","F","B","G","B","H","G","G"
"U","G","C","B","G","G","U","H","B","G","B","H","C","B"
"B","G","C","G","G","G","A","G","B","G","C","C","G","C"
"U","G","G","A","G","G","H","H","A","B","B","F","C","U"
"B","G","C","B","G","G","H","F","B","F","B","H","G","C"
"U","F","C","B","G","G","G","G","B","F","C","C","G","C"
"B","G","G","B","C","C","G","H","B","C","C","H","C","C"
"B","G","G","H","G","G","A","G","B","G","C","G","C","C"
"U","F","G","H","G","G","G","G","G","G","C","G","C","C"
"U","G","G","B","G","G","B","F","B","G","B","H","C","C"
"U","F","C","B","G","G","C","A","U","C","B","H","C","B"
"B","G","G","C","G","G","H","H","B","B","B","F","C","C"
"B","G","C","H","C","G","A","C","B","G","B","F","G","C"
"U","F","C","B","G","U","H","G","B","F","B","H","C","U"
"B","G","C","A","G","G","A","F","B","B","C","G","C","C"
"U","G","C","B","G","G","B","G","B","G","C","G","C","B"
"U","G","G","H","G","G","G","G","B","B","B","H","C","C"
"U","G","C","B","G","G","H","A","G","F","B","G","C","G"
"B","G","G","G","G","G","H","C","A","F","C","G","C","G"
"U","G","C","A","G","G","A","B","B","F","B","F","G","U"
"U","G","C","B","G","U","U","F","B","G","B","H","C","G"
"B","G","C","F","G","G","H","H","B","C","C","G","C","C"
"U","G","C","B","G","G","A","G","H","G","C","G","G","H"
"U","C","C","B","G","U","U","A","B","C","C","H","C","U"
"U","G","C","H","C","G","U","H","B","C","C","F","C","C"
"U","F","G","G","C","U","H","F","U","G","B","C","C","C"
"B","G","G","B","G","G","A","H","B","F","C","G","C","C"
"G","G","C","F","G","G","F","B","B","C","B","F","C","G"
"U","F","G","B","G","U","A","A","B","B","B","N","C","U"
"B","G","C","H","G","G","H","H","B","G","B","F","G","C"
"U","G","G","G","C","G","H","H","B","B","B","F","C","G"
"U","F","C","B","G","G","H","H","B","F","B","C","C","B"
"B","G","G","B","G","G","H","F","B","G","C","G","C","C"
"B","G","C","B","G","G","A","F","B","C","C","G","G","C"
"U","G","C","F","G","G","H","H","B","F","C","G","G","G"
"U","G","C","B","G","G","H","G","B","C","C","G","C","G"
"U","G","G","B","G","G","B","F","B","C","C","G","C","U"
"U","G","G","B","G","U","H","A","B","C","C","N","C","U"
"U","G","G","B","C","G","B","F","B","B","B","F","G","C"
"U","G","C","B","G","C","H","G","B","B","C","H","C","C"
"U","F","C","B","G","G","B","H","B","F","B","C","C","H"
"C","G","G","B","G","G","G","H","B","G","C","G","C","U"
"U","G","G","B","G","G","H","G","U","G","B","C","C","C"
"U","F","C","B","G","G","A","G","B","F","B","F","G","C"
"U","G","G","B","G","G","G","F","B","C","B","F","C","C"
"C","G","G","B","G","U","G","F","B","B","B","F","G","C"
"U","U","U","B","G","U","U","A","B","C","B","N","C","C"
"U","G","C","B","G","G","B","H","B","B","B","F","G","B"
"B","G","C","B","G","G","A","F","H","C","C","H","C","C"
"U","U","U","B","G","U","U","A","U","G","B","N","C","B"
"B","G","G","B","C","G","C","F","H","F","C","F","G","G"
"B","F","C","B","C","G","B","A","U","B","B","N","C","F"
"B","F","G","A","G","G","B","C","B","F","C","F","G","C"
"U","F","G","B","G","G","A","A","B","G","B","H","C","G"
"U","F","C","B","G","G","H","G","B","C","C","F","C","C"
"B","G","G","B","G","G","H","G","G","F","B","F","C","C"
"U","G","G","C","G","G","B","H","F","G","C","H","G","G"
"U","C","G","B","G","G","C","A","U","B","B","C","G","C"
"B","G","C","B","G","C","A","F","B","F","B","F","C","C"
"U","F","C","B","G","G","G","F","B","F","B","C","C","C"
"B","G","G","B","G","U","C","G","B","G","C","F","C","H"
"U","G","G","G","G","G","H","G","B","G","B","H","C","C"
"U","G","G","B","G","G","G","A","G","C","C","G","C","H"
"U","G","G","B","G","G","A","G","B","F","B","F","C","H"
"U","F","C","B","G","G","B","G","B","F","C","G","C","C"
"B","G","C","H","G","U","H","G","B","G","B","F","C","C"
"U","F","C","B","G","U","H","H","H","G","C","G","C","C"
"U","F","G","B","G","G","G","G","B","G","B","C","G","C"
"U","F","G","B","G","G","A","A","U","F","B","N","C","G"
"A","G","G","B","G","G","B","A","B","C","C","H","C","C"
"U","G","G","A","G","G","B","G","B","B","C","G","C","G"
"U","G","C","B","C","G","A","H","A","F","C","F","G","C"
"U","G","C","B","G","G","A","A","B","G","B","F","C","C"
"U","G","G","B","G","G","B","A","B","C","C","F","G","C"
"U","G","G","B","G","C","B","G","B","B","C","G","C","C"
"U","G","G","B","G","G","A","H","B","B","C","F","C","C"
"U","G","C","B","G","G","H","G","B","G","B","G","C","C"
"B","C","C","F","C","G","B","F","A","B","C","G","C","G"
"U","G","C","B","G","U","G","F","A","C","C","G","G","C"
"U","G","G","H","G","G","G","H","B","B","C","F","C","H"
"U","G","G","B","G","G","G","F","B","G","C","G","C","G"
"U","G","C","B","G","G","A","F","B","C","C","G","C","C"
"U","G","G","B","G","G","G","H","B","C","C","G","C","C"
"B","F","G","B","C","G","G","G","B","F","B","H","C","C"
"B","G","G","G","G","G","A","H","B","B","B","F","C","G"
"U","G","G","B","G","G","A","C","B","F","C","H","C","C"
"U","F","G","B","G","G","B","A","B","G","B","C","C","C"
"U","F","C","B","G","G","G","F","U","B","B","N","C","C"
"B","G","G","B","G","G","B","A","B","G","B","H","G","G"
"U","G","G","B","G","G","G","F","B","C","C","G","C","C"
"B","G","C","B","G","G","G","H","B","C","C","G","C","C"
"B","G","C","C","C","G","H","G","B","B","B","H","C","H"
"U","G","C","B","G","G","A","G","B","B","B","H","C","C"
"U","C","C","B","C","G","B","A","B","B","C","C","C","C"
"B","G","G","B","G","G","A","F","B","B","B","C","C","C"
"U","G","C","A","G","G","A","G","B","B","C","G","C","C"
"U","F","G","G","G","G","G","F","B","C","C","G","C","G"
"B","G","G","B","G","G","U","H","A","C","C","G","C","H"
"U","F","G","B","G","G","G","H","B","G","C","F","C","U"
"U","G","C","B","G","U","U","A","U","B","B","H","G","U"
"U","G","C","B","G","G","H","G","B","C","C","H","C","C"
"A","G","G","A","C","G","C","H","B","C","C","F","C","C"
"B","G","C","B","G","G","A","H","B","B","B","F","C","C"
"B","G","C","B","G","U","A","G","B","F","B","F","G","G"
"U","G","C","B","G","G","B","H","B","B","B","H","C","C"
"U","F","C","B","G","G","G","H","B","F","B","H","C","H"
"B","G","G","B","G","G","H","A","B","G","B","H","C","C"
"B","G","C","G","G","G","A","C","F","F","C","G","C","G"
"U","F","G","B","G","G","B","F","B","C","B","C","C","B"
"B","F","G","B","G","G","B","F","B","F","B","F","G","B"
"U","F","C","B","C","U","B","G","B","F","B","C","C","C"
"U","G","C","B","G","G","G","H","B","F","B","C","G","B"
"B","F","G","B","G","G","G","H","B","C","C","G","G","G"
"U","F","G","H","C","G","G","H","B","C","C","F","C","C"
"U","G","C","F","G","G","G","H","B","G","B","C","C","C"
"U","G","C","B","G","G","B","H","F","B","C","G","C","B"
"C","G","G","A","G","G","A","G","B","B","C","H","C","C"
"A","G","G","B","G","G","H","B","B","C","C","F","C","C"
"B","F","C","B","G","G","A","A","A","F","C","H","C","C"
"G","G","C","H","G","G","A","G","B","C","C","F","C","C"
"U","G","C","B","G","G","A","A","B","C","B","F","C","C"
"U","F","G","B","C","G","G","F","B","F","C","H","G","C"
"G","G","C","B","C","G","B","A","B","C","C","G","G","G"
"U","F","G","B","G","U","A","H","B","F","B","C","G","C"
"U","G","C","B","G","G","B","H","B","B","B","F","G","G"
"U","G","G","B","G","G","U","G","B","B","B","F","C","G"
"U","G","C","B","G","U","B","A","U","C","B","N","C","U"
"C","G","C","F","G","G","H","H","B","G","B","H","G","B"
"U","G","G","C","G","G","H","F","B","B","B","F","C","C"
"B","G","C","H","G","G","U","G","B","C","C","G","C","G"
"B","G","C","G","G","G","C","G","B","F","B","F","C","C"
"U","G","C","B","G","U","C","H","F","B","B","F","C","H"
"U","G","C","A","G","G","A","H","B","C","C","G","C","C"
"B","G","C","A","G","G","B","H","A","C","C","G","G","G"
"U","G","G","B","G","G","H","A","B","G","B","C","G","C"
"B","F","G","B","G","G","G","F","B","F","C","G","G","C"
"U","G","C","B","G","G","C","A","B","G","C","H","C","C"
"B","G","G","G","G","G","H","H","B","B","B","H","C","H"
"B","G","C","B","G","G","A","C","B","G","B","H","G","B"
"U","F","G","C","G","G","H","F","B","C","C","H","C","U"
"B","G","C","A","G","G","B","H","G","C","C","G","C","C"
"U","G","G","B","G","U","G","F","B","B","C","C","G","C"
"U","F","C","G","G","G","H","H","B","B","C","H","G","C"
"U","G","G","B","G","G","U","H","B","C","B","F","C","C"
"U","G","G","B","G","G","G","A","B","F","C","H","C","G"
"U","G","G","B","G","G","H","H","F","G","C","G","C","C"
"U","F","C","B","G","G","B","F","B","G","B","N","C","C"
"U","G","C","C","G","G","A","F","B","B","C","H","C","H"
"U","F","G","B","G","U","U","A","B","G","C","H","C","C"
"G","G","G","B","G","G","H","H","G","C","C","G","C","C"
"U","G","C","B","G","G","F","A","B","F","B","C","C","C"
"U","G","C","B","G","G","B","H","B","F","B","C","C","H"
"U","G","C","B","G","G","H","A","B","C","C","G","C","U"
"U","G","C","B","G","G","B","A","B","B","C","F","G","G"
"B","G","G","C","G","G","A","H","B","B","B","F","C","G"
"U","G","G","F","G","G","B","C","B","F","B","F","G","B"
"U","F","C","B","G","G","H","A","F","F","B","F","C","C"
"U","U","U","C","G","U","U","A","B","B","C","N","G","B"
"C","C","G","C","G","G","G","F","B","B","C","G","G","G"
"B","G","C","B","C","G","H","H","B","C","C","G","G","G"
"U","G","C","H","G","G","H","C","B","B","B","H","C","C"
"B","F","G","F","G","G","G","G","B","F","C","H","G","B"
"U","F","C","B","G","G","B","H","B","F","B","C","G","B"
"U","G","G","B","G","G","H","H","U","G","C","G","G","U"
"U","G","G","B","G","G","G","F","B","B","B","F","C","C"
"U","F","C","U","G","U","A","U","B","B","B","N","C","C"
"U","F","G","U","C","U","B","U","B","F","F","N","G","B"
"U","G","G","B","G","G","G","H","B","C","B","H","C","C"
"B","G","C","B","G","G","A","A","B","F","C","G","C","C"
"U","F","C","B","G","G","A","C","B","F","C","F","C","C"
"U","G","G","B","G","G","A","A","B","F","C","H","C","C"
"U","G","C","B","G","C","A","A","B","F","C","G","C","C"
"U","G","C","B","C","G","G","A","B","B","B","H","C","C"
"B","G","C","B","G","G","H","F","B","G","C","F","C","C"
"U","G","G","B","G","G","H","H","H","C","C","G","C","C"
"U","G","G","B","G","G","A","A","B","C","C","G","C","G"
"U","G","C","B","G","C","H","G","B","B","B","H","C","C"
"B","G","C","H","G","U","H","H","B","B","C","G","C","U"
"U","C","C","B","G","U","B","A","B","G","B","N","G","C"
"B","G","C","B","G","G","A","A","B","F","C","G","G","G"
"U","F","G","B","C","G","B","A","B","F","B","N","C","B"
"U","C","C","U","G","U","H","U","B","C","B","N","C","C"
"U","G","G","C","G","G","G","H","B","C","B","G","C","C"
"G","G","C","B","G","C","H","F","B","F","C","H","G","C"
"U","G","G","B","G","G","G","H","A","G","C","G","C","C"
"B","G","G","B","G","G","H","G","B","B","B","H","C","C"
"B","G","C","B","G","G","A","G","B","C","C","G","C","U"
"U","G","G","B","G","G","G","H","B","B","B","H","C","C"
"U","G","C","B","G","G","H","G","B","G","B","H","C","G"
"B","F","C","C","G","G","G","F","B","F","B","C","G","C"
"U","G","C","F","C","G","A","G","A","B","B","H","C","C"
"U","G","C","B","G","G","H","A","G","G","B","C","G","C"
"U","G","C","A","C","G","B","F","B","F","C","F","G","G"
"U","G","C","C","G","G","H","F","B","G","C","F","G","C"
"U","G","G","B","C","G","G","F","A","B","C","G","C","C"
"U","F","G","B","G","G","B","A","B","C","B","C","C","C"
"B","F","G","B","C","G","B","H","B","F","C","G","C","C"
"U","G","C","B","G","G","U","G","U","B","C","G","C","C"
"U","G","C","B","G","G","A","A","B","G","B","F","C","C"
"U","F","C","B","G","U","A","A","B","C","B","N","C","C"
"U","G","G","H","G","G","G","G","B","G","B","C","C","C"
"B","F","C","B","G","G","C","G","B","C","C","F","C","C"
"U","F","G","B","G","G","G","A","U","B","C","N","C","C"
"B","G","G","B","G","G","A","C","B","B","C","G","C","C"
"U","G","G","G","G","G","C","F","G","G","C","H","C","B"
"G","G","C","B","G","G","U","H","B","C","B","F","C","C"
"U","C","G","B","G","G","A","A","B","B","B","C","C","C"
"B","G","G","B","C","G","B","A","B","F","B","C","C","C"
"U","G","G","B","G","G","B","F","B","G","C","F","C","G"
"U","F","G","B","C","G","C","H","B","F","C","H","C","C"
"U","C","G","B","G","G","G","F","B","B","B","C","C","C"
"B","G","C","B","G","G","A","F","B","B","C","G","C","C"
"U","G","G","B","G","G","H","H","U","B","B","H","C","C"
"B","G","C","G","G","G","A","H","B","B","C","G","C","C"
"U","G","G","B","C","G","H","A","B","B","B","H","C","U"
"U","F","G","B","C","U","U","G","B","C","C","H","C","U"
"U","G","C","B","G","U","B","A","B","B","B","F","C","C"
"B","G","C","H","G","G","A","G","B","G","C","G","C","C"
"A","G","G","B","G","U","G","F","B","C","C","G","C","C"
"U","F","C","B","G","G","H","A","B","C","C","H","C","U"
"U","F","C","U","G","U","C","U","B","B","B","N","C","U"
"U","F","G","B","C","U","U","C","B","B","C","H","C","C"
"B","G","C","G","G","G","B","H","B","B","C","G","C","G"
"U","G","C","B","G","G","B","A","B","G","B","C","G","C"
"U","F","G","B","G","G","G","F","B","C","B","F","C","C"
"U","G","G","B","G","G","G","G","G","G","C","C","G","C"
"U","G","C","B","C","G","B","H","G","B","C","F","G","C"
"U","G","G","B","G","G","B","H","B","F","C","G","G","C"
"U","F","G","B","G","G","G","A","U","G","B","C","G","B"
"U","G","C","B","G","G","A","A","B","B","B","C","C","C"
"U","G","G","B","G","G","B","H","B","C","C","G","C","C"
"U","C","C","U","G","G","H","U","U","F","C","C","C","C"
"B","G","C","B","G","G","H","F","B","F","B","C","G","C"
"U","G","C","B","G","G","A","G","B","G","C","G","G","B"
"U","G","C","B","G","G","B","F","B","G","C","H","G","H"
"U","G","G","B","G","G","B","A","B","B","B","H","C","H"
"U","F","C","B","G","G","A","A","B","B","B","N","G","B"
"B","G","G","A","G","G","H","H","B","G","C","H","G","G"
"U","G","C","B","G","G","G","F","A","F","B","F","C","B"
"B","G","G","F","C","G","H","H","B","B","C","F","G","U"
"U","F","G","C","G","G","A","A","B","F","B","H","C","C"
"U","F","G","B","G","G","G","F","B","C","C","G","C","B"
"B","G","G","B","G","G","A","G","B","B","C","G","C","C"
"U","G","C","B","G","G","B","F","B","G","C","H","C","G"
"U","F","G","B","G","G","G","C","B","C","B","F","C","C"
"U","G","G","B","G","G","B","F","B","G","B","H","C","C"
"B","F","C","B","C","G","U","H","B","C","C","G","C","H"
"B","G","C","B","C","G","G","H","C","G","B","H","C","C"
"U","F","C","B","G","C","B","H","A","C","B","F","G","H"
"G","G","G","B","G","U","A","F","B","B","B","C","C","C"
"B","G","C","B","G","C","B","H","B","F","B","H","C","H"
"U","G","C","B","C","U","U","H","B","C","B","F","G","C"
"U","C","G","B","G","G","B","F","G","G","C","H","G","G"
"U","F","C","B","G","C","B","H","B","F","C","H","G","B"
"U","G","C","B","C","G","H","H","B","B","C","H","C","H"
"U","G","G","B","G","G","A","G","B","F","B","F","C","C"
"U","G","C","B","G","G","B","A","B","G","C","G","C","B"
"U","G","G","A","G","G","G","F","B","B","C","G","C","C"
"U","G","G","B","G","G","B","C","B","C","B","F","C","C"
"U","F","G","B","G","G","G","F","U","C","C","H","C","C"
"U","G","C","B","G","G","H","A","F","F","C","H","C","U"
"B","G","C","F","G","G","H","F","B","G","C","G","C","C"
"U","G","C","B","G","U","A","A","B","C","C","N","C","U"
"B","G","G","A","G","G","B","H","B","G","B","H","C","B"
"B","G","G","B","G","G","H","H","B","G","B","H","G","G"
"U","F","G","B","G","G","B","F","B","B","B","H","G","C"
"U","G","C","B","G","G","H","H","C","B","C","F","C","G"
"U","F","G","B","G","G","H","A","G","H","B","N","C","C"
"U","G","C","B","G","G","U","A","F","G","C","G","C","C"
"U","F","G","B","G","G","B","F","F","G","B","F","G","H"
"B","G","C","B","G","G","G","G","H","G","B","F","C","H"
"B","G","G","F","G","G","A","G","B","C","C","G","C","C"
"U","G","G","B","G","G","A","A","B","B","B","C","C","C"
"U","G","C","B","G","G","H","A","B","F","B","H","C","H"
"B","G","C","C","G","G","C","F","B","B","C","G","C","C"
"U","G","C","B","G","G","A","A","B","F","C","H","C","C"
"B","G","G","B","G","G","G","H","B","B","C","H","C","G"
"U","G","C","B","G","G","G","G","B","G","C","G","C","C"
"B","G","C","G","G","G","A","H","B","C","C","G","C","G"
"B","G","C","B","G","G","B","G","B","F","C","H","C","C"
"U","F","G","B","G","G","G","A","B","G","B","C","C","C"
"U","G","C","B","C","G","H","G","B","G","C","F","G","C"
"U","G","G","B","G","G","G","F","B","G","C","F","C","B"
"U","G","C","B","G","G","H","A","B","C","C","G","C","U"
"B","G","C","B","G","G","A","A","H","B","C","G","C","C"
"U","G","G","H","G","U","U","F","B","B","C","G","G","H"
"U","F","G","B","G","G","H","H","B","H","B","H","C","C"
"U","F","C","B","G","G","A","A","B","G","C","H","C","B"
"B","F","C","G","C","U","B","F","B","C","C","C","G","G"
"U","F","C","B","G","G","A","A","U","B","B","N","C","U"
"U","G","C","B","G","G","B","G","B","B","B","H","G","H"
"B","F","G","B","G","G","B","H","B","B","C","G","C","C"
"U","G","C","B","G","G","A","H","B","B","B","H","C","H"
"U","F","G","B","G","G","B","F","B","B","C","C","C","B"
"U","G","C","B","G","G","C","G","B","F","B","F","C","B"
"B","G","G","G","G","G","G","F","B","B","C","H","G","C"
"U","F","G","B","G","G","G","G","B","C","B","G","C","C"
"U","G","C","F","G","G","H","H","B","C","C","G","G","C"
"U","G","G","B","G","U","B","F","B","B","B","N","C","C"
"B","G","C","H","G","U","H","C","B","B","C","G","C","U"
"B","G","G","B","G","G","H","A","B","B","B","H","C","C"
"C","G","G","G","G","G","G","F","B","B","B","F","C","C"
"G","G","C","B","C","G","U","F","B","G","C","G","C","C"
"B","G","C","B","G","G","H","F","H","C","C","G","C","C"
"U","G","G","B","G","G","G","A","B","G","C","H","C","C"
"U","G","G","B","G","G","G","F","B","F","B","H","C","C"
"U","G","G","C","G","U","G","A","B","B","C","N","C","C"
"U","G","C","B","G","G","H","A","B","F","B","C","G","C"
"U","G","G","B","G","G","G","H","B","F","B","H","G","B"
"U","G","G","B","G","U","A","A","U","G","B","N","C","C"
"U","F","C","B","G","G","H","H","B","G","B","H","G","G"
"G","G","C","C","C","G","A","F","B","F","B","H","G","H"
"U","F","G","B","C","C","U","H","U","C","F","H","G","C"
"B","G","C","H","G","G","A","G","B","C","C","G","C","C"
"U","G","G","B","G","G","B","A","B","B","B","F","G","C"
"U","F","C","B","G","G","H","H","A","F","B","F","C","C"
"U","G","G","F","G","G","G","G","C","G","B","H","C","B"
"U","C","C","B","G","U","C","F","B","B","C","C","C","H"
"U","F","C","B","C","G","H","F","B","F","B","C","C","C"
"U","F","C","B","G","G","G","F","B","B","B","H","G","C"
"U","F","C","B","G","G","A","G","B","G","C","G","C","C"
"U","G","C","B","G","G","G","G","H","F","B","F","G","H"
"U","F","G","B","G","G","G","F","B","F","B","C","C","C"
"B","G","C","G","C","G","A","H","B","F","C","F","C","C"
"U","G","G","B","G","G","H","H","B","B","C","G","C","G"
"U","G","C","C","G","G","A","F","B","B","B","C","C","C"
"U","G","C","B","G","C","A","F","U","G","B","N","C","H"
"U","G","G","B","G","U","B","A","U","C","B","N","C","G"
"B","F","C","F","C","G","C","C","B","G","C","C","C","C"
"B","G","C","G","G","G","F","G","F","G","C","F","C","C"
"U","G","C","B","G","G","A","G","A","C","C","G","G","B"
"U","F","C","C","G","G","H","H","B","C","C","F","C","C"
"U","G","C","B","G","U","H","A","U","B","B","N","C","C"
"U","F","C","B","G","G","A","A","B","G","B","C","G","C"
"U","F","G","B","G","G","B","A","B","F","B","H","C","G"
